"date","month","week","word","target","n","type","bing_lexicon","afinn_lexicon"
2014-10-09,2014-10-01,2014-10-05,"dope","thomas frieden",1,"unigram","negative",NA
2014-10-09,2014-10-01,2014-10-05,"fool","thomas frieden",1,"unigram","negative",-2
2015-06-16,2015-06-01,2015-06-14,"action","politicians",1,"unigram",NA,NA
2015-06-16,2015-06-01,2015-06-14,"talk","politicians",1,"unigram",NA,NA
2015-06-24,2015-06-01,2015-06-21,"baltimore","ben cardin",1,"unigram",NA,NA
2015-06-24,2015-06-01,2015-06-21,"cardin","ben cardin",1,"unigram",NA,NA
2015-06-24,2015-06-01,2015-06-21,"destroyed","ben cardin",1,"unigram",NA,-3
2015-06-24,2015-06-01,2015-06-21,"hypocrite","neil young",1,"unigram","negative",NA
2015-06-24,2015-06-01,2015-06-21,"love","rockin in the free world",1,"unigram","positive",3
2015-06-24,2015-06-01,2015-06-21,"politicians","ben cardin",1,"unigram",NA,NA
2015-06-24,2015-06-01,2015-06-21,"total","neil young",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"america","jeb bush",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"close","the view",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"clue","nicole wallace",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"dead","the view",1,"unigram","negative",-3
2015-06-25,2015-06-01,2015-06-21,"death","the view",1,"unigram","negative",-2
2015-06-25,2015-06-01,2015-06-21,"disaster","molly sims",1,"unigram","negative",-2
2015-06-25,2015-06-01,2015-06-21,"disaster","nicole wallace",1,"unigram","negative",-2
2015-06-25,2015-06-01,2015-06-21,"dopey","lawrence o donnell",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"dumber","lawrence o donnell",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"people","lawrence o donnell",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"political","lawrence o donnell",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"poorly","rick scott",1,"unigram","negative",NA
2015-06-25,2015-06-01,2015-06-21,"pundit","lawrence o donnell",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"sleep","the view",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"t.v","the view",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"television","lawrence o donnell",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"television","rick scott",1,"unigram",NA,NA
2015-06-25,2015-06-01,2015-06-21,"uncomfortable","willie geist",1,"unigram","negative",-2
2015-06-26,2015-06-01,2015-06-21,"appointments","john roberts",1,"unigram",NA,NA
2015-06-26,2015-06-01,2015-06-21,"controlled","univision",1,"unigram",NA,NA
2015-06-26,2015-06-01,2015-06-21,"government","univision",1,"unigram",NA,NA
2015-06-26,2015-06-01,2015-06-21,"judicial","john roberts",1,"unigram",NA,NA
2015-06-26,2015-06-01,2015-06-21,"mexican","univision",1,"unigram",NA,NA
2015-06-26,2015-06-01,2015-06-21,"roberts","john roberts",1,"unigram",NA,NA
2015-06-26,2015-06-01,2015-06-21,"unlike","john roberts",1,"unigram",NA,NA
2015-06-28,2015-06-01,2015-06-28,"clown","mort zuckerman",1,"unigram",NA,NA
2015-06-28,2015-06-01,2015-06-28,"dead","new york daily news",1,"unigram","negative",-3
2015-06-28,2015-06-01,2015-06-28,"dopey","mort zuckerman",1,"unigram",NA,NA
2015-06-28,2015-06-01,2015-06-28,"dying","new york daily news",1,"unigram","negative",NA
2015-06-28,2015-06-01,2015-06-28,"tabloid","new york daily news",1,"unigram",NA,NA
2015-06-30,2015-06-01,2015-06-28,"friend","mexico",1,"unigram",NA,NA
2015-06-30,2015-06-01,2015-06-28,"killing","mexico",1,"unigram","negative",-3
2015-07-01,2015-07-01,2015-06-28,"border","macys",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"catcher","george pataki",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"dog","george pataki",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"elected","george pataki",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"governor","george pataki",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"ny","george pataki",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"profile","macys",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"racial","macys",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"racists","macys",1,"unigram","negative",-3
2015-07-01,2015-07-01,2015-06-28,"ran","george pataki",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"security","macys",1,"unigram",NA,NA
2015-07-01,2015-07-01,2015-06-28,"terrible","george pataki",1,"unigram","negative",-3
2015-07-01,2015-07-01,2015-06-28,"weak","macys",1,"unigram","negative",-2
2015-07-01,2015-07-01,2015-06-28,"worst","george pataki",1,"unigram","negative",-3
2015-07-02,2015-07-01,2015-06-28,"calling","macys",1,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"card","macys",1,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"credit","macys",1,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"cutting","macys",1,"unigram",NA,-1
2015-07-02,2015-07-01,2015-06-28,"dropped","macys",1,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"hypocrites","macys",1,"unigram","negative",NA
2015-07-02,2015-07-01,2015-06-28,"ineffective","barack obama",1,"unigram","negative",-2
2015-07-02,2015-07-01,2015-06-28,"macy's","macys",2,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"people","macys",1,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"stock","macys",1,"unigram",NA,NA
2015-07-02,2015-07-01,2015-06-28,"terrible","macys",1,"unigram","negative",-3
2015-07-02,2015-07-01,2015-06-28,"weak","barack obama",1,"unigram","negative",-2
2015-07-03,2015-07-01,2015-06-28,"absolutely","southern border",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"child","juan williams",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"control","southern border",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"disgraceful","southern border",1,"unigram","negative",NA
2015-07-03,2015-07-01,2015-06-28,"fox","juan williams",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"picture","juan williams",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"ran","juan williams",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"speak","juan williams",1,"unigram",NA,NA
2015-07-03,2015-07-01,2015-06-28,"totally","southern border",1,"unigram",NA,NA
2015-07-05,2015-07-01,2015-07-05,"border","jeb bush",1,"unigram",NA,NA
2015-07-05,2015-07-01,2015-07-05,"border","rick perry",1,"unigram",NA,NA
2015-07-05,2015-07-01,2015-07-05,"failed","rick perry",1,"unigram","negative",-2
2015-07-05,2015-07-01,2015-07-05,"glasses","rick perry",1,"unigram",NA,NA
2015-07-05,2015-07-01,2015-07-05,"hypocrite","paulina vega",1,"unigram","negative",NA
2015-07-05,2015-07-01,2015-07-05,"pair","rick perry",1,"unigram",NA,NA
2015-07-05,2015-07-01,2015-07-05,"secure","jeb bush",1,"unigram","positive",2
2015-07-07,2015-07-01,2015-07-05,"card","macys",1,"unigram",NA,NA
2015-07-07,2015-07-01,2015-07-05,"credit","macys",1,"unigram",NA,NA
2015-07-07,2015-07-01,2015-07-05,"cutting","macys",1,"unigram",NA,-1
2015-07-07,2015-07-01,2015-07-05,"dumping","united states",1,"unigram","negative",NA
2015-07-07,2015-07-01,2015-07-05,"ground","united states",1,"unigram",NA,NA
